Columna1,Columna2,Columna3,Columna4
99,0.3876012938859086,D,1.829114768153683
37,0.5171811298652407,B,-0.9329783484718713
35,0.21631965276048204,D,-0.2920888916520602
2,0.5365254954855627,B,0.6973874195031908
15,0.7966833797733431,D,-0.9990913166535048
5,0.3450154583268066,A,0.2406185820972873
51,0.04733724096382197,A,1.2807191542576493
29,0.20486902257947281,B,-0.5206571772337214
5,0.9064411902777472,A,-2.753857891331531
74,0.7816747606042442,D,1.7986646919741553
85,0.8701401301578203,C,-0.4431694301906106
16,0.8875555645576196,C,0.02991991793674757
45,0.6542279424444837,D,0.7390461381532035
6,0.6347310131566715,A,0.30691312171868285
71,0.6058724282628853,C,0.20225999399132227
81,0.41713557761964903,C,-0.9718971384227348
26,0.13160202176181846,A,-0.08263571472973305
20,0.07146086503308391,A,0.8276556455915333
16,0.14981410082214197,D,-0.7067304917051089
70,0.47322971023841587,A,-0.9527599198371662
25,0.1993407047088417,B,0.8596804924671418
36,0.38550005166384327,B,1.2028694660796573
23,0.46062396886073764,C,0.07397004653060912
7,0.17541693818036552,C,-0.3144962648374567
40,0.3952676047129471,D,0.8212970738514824
73,0.25312970825803915,A,0.9740338360646195
35,0.30438629033471964,A,0.34113095957843503
75,0.3681565681655833,C,-0.10391716493629286
25,0.06067603927281273,C,-0.3400348452056935
82,0.1443141459237095,A,-0.5035265859022316
55,0.529357985956897,A,-0.8367264313862854
45,0.7487539590442444,B,-0.6964533526413698
57,0.8844341829066532,C,-0.0976763107941702
80,0.3278593988250139,A,-0.4347447401123415
61,0.7740434986831208,B,1.5035297907410476
35,0.6579165592724348,B,-0.3356968309239582
45,0.7761757881458997,B,0.7510014974472565
72,0.69385070108092,A,0.47903416911110114
4,0.552500352226221,D,0.21448304867143203
47,0.5042288417433903,A,-0.4269856363779353
34,0.6113931746307922,D,0.3614583784781725
84,0.613720744279732,C,-0.695114813452069
30,0.9667827983615036,D,-0.2302634152333899
5,0.9055111516872258,D,-0.18429863735409374
71,0.6273722909258848,D,-0.3490570578861491
64,0.9584236002428325,B,-0.3135342622866121
34,0.33817492197160415,D,0.8207835589686049
84,0.003910692006382277,A,-0.03991321439571004
79,0.8640190753767538,A,2.0829401064833855
52,0.5526045137343654,A,-1.2919345837921168
14,0.7185992434574644,B,-0.7978936459216958
27,0.37124672801536085,D,0.8279882917122801
88,0.20971835460188926,B,0.5309484435683844
72,0.431372239720906,A,0.9851113026178429
15,0.48632659557142555,D,-0.8090688107518293
71,0.23165367555061955,B,0.6669738778918689
21,0.6844776571146965,C,0.47249544411129835
37,0.9359438565369055,A,0.3086801691996135
84,0.47880540599678456,D,-0.9104316586654346
45,0.7046416921118857,D,1.9662699166556992
73,0.44885878306262417,C,-0.8965231819203235
60,0.0899255869662422,B,2.1949403937022836
4,0.30883590565217467,D,1.2952861607040578
77,0.695000315330039,B,-2.053510867831114
97,0.9735939179495093,C,1.2079545760786587
20,0.5019945205296902,A,-2.8445105069141543
80,0.006997133918971166,B,-0.5963340437063417
72,0.5924416175674796,C,-0.9820853243288364
42,0.10063881672653208,D,0.6161467154991465
10,0.675894972319534,B,0.7278008130793548
19,0.5813199853349839,C,-0.08647316161556458
40,0.9666397703047868,A,0.7384534177133946
14,0.6816932155230039,B,-1.7374764586880793
95,0.5690477629837866,D,-0.5733268450315153
48,0.8420549484826557,B,-1.7253028078433932
76,0.5081493129385984,A,-1.6695138617207983
25,0.6434433771958353,C,1.1330138090361817
28,0.8562987385250682,D,0.9488401726543976
78,0.06043745830453706,A,-1.5307782259967764
73,0.31386633921120033,C,-1.1107183058602659
36,0.7632079711326502,A,0.0023485425595759293
48,0.48006538260697096,D,-2.8616771319510788
78,0.33189402309767724,D,-0.06033795103120541
32,0.7899381288991734,B,-0.9682595115916011
26,0.1716811184981476,C,0.38892090382939054
38,0.6317880955607674,C,-0.7738058527240484
44,0.43129645338599765,B,0.6454092659931467
92,0.17063525437568527,C,2.333498173492589
83,0.6156253703744332,A,0.8806207534902295
50,0.005862802633560316,C,1.4171397525799865
52,0.36070486440468763,B,-0.6177511621707564
53,0.04027947660553388,C,-0.2135013205084891
69,0.43775707101078287,D,-0.8374396097484231
12,0.4548866203520677,B,-0.2777203563658985
61,0.5491487311858194,D,1.2323115034378969
45,0.7008258351170226,C,-1.4391166623630562
94,0.4241889277402163,B,1.8986901732685206
5,0.7377915659227258,D,1.621023032641018
64,0.643024954936135,A,1.1315300007550237
73,0.7653183174865615,B,0.5847645090888707
